            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,,,Median age of earners (years),,,,,,,Sum ($),,,,,,,Median ($),,,,,,,Mean ($),,,,,,,,,,,,,
13450,Griffith," 13,960 "," 14,129 "," 14,159 "," 14,563 "," 14,896 "," 15,689 "," 16,298 ", 42 , 42 , 42 , 42 , 41 , 40 , 41 ," 623,000,000 "," 661,000,000 "," 689,000,000 "," 734,000,000 "," 767,000,000 "," 816,290,448 "," 877,047,828 "," 37,943 "," 40,120 "," 41,551 "," 42,969 "," 43,867 "," 45,427 "," 47,102 "," 44,597 "," 46,780 "," 48,643 "," 50,382 "," 51,511 "," 52,029 "," 53,813 ",,,,,,,
13550,Gunnedah," 6,193 "," 6,133 "," 6,306 "," 6,482 "," 6,488 "," 6,618 "," 6,769 ", 44 , 44 , 44 , 44 , 43 , 43 , 43 ," 298,000,000 "," 299,000,000 "," 327,000,000 "," 360,000,000 "," 378,000,000 "," 393,725,901 "," 415,577,976 "," 37,939 "," 38,940 "," 41,560 "," 43,717 "," 45,455 "," 47,432 "," 49,173 "," 48,046 "," 48,729 "," 51,777 "," 55,464 "," 58,197 "," 59,493 "," 61,394 ",,,,,,,
13660,Gwydir," 2,444 "," 2,435 "," 2,417 "," 2,450 "," 2,316 "," 2,377 "," 2,510 ", 46 , 47 , 48 , 48 , 48 , 48 , 48 ," 86,584,390 "," 82,266,910 "," 80,519,853 "," 101,000,000 "," 113,000,000 "," 118,263,691 "," 111,239,643 "," 31,491 "," 31,292 "," 31,110 "," 34,193 "," 38,152 "," 39,858 "," 39,708 "," 35,427 "," 33,785 "," 33,314 "," 41,095 "," 48,956 "," 49,753 "," 44,319 ",,,,,,,
13800,Hawkesbury," 35,478 "," 35,592 "," 36,282 "," 37,328 "," 38,015 "," 38,764 "," 39,291 ", 42 , 43 , 43 , 43 , 43 , 43 , 43 ," 1,830,000,000 "," 1,920,000,000 "," 2,030,000,000 "," 2,160,000,000 "," 2,270,000,000 "," 2,366,596,489 "," 2,466,805,351 "," 43,859 "," 45,415 "," 46,731 "," 48,276 "," 49,923 "," 51,142 "," 52,890 "," 51,674 "," 53,936 "," 55,981 "," 57,847 "," 59,664 "," 61,051 "," 62,783 ",,,,,,,
13850,Hay," 1,674 "," 1,696 "," 1,694 "," 1,773 "," 1,716 "," 1,750 "," 1,695 ", 46 , 47 , 47 , 47 , 47 , 47 , 47 ," 72,775,098 "," 71,738,275 "," 78,136,036 "," 84,381,956 "," 80,648,795 "," 87,423,158 "," 90,457,054 "," 35,736 "," 37,351 "," 38,360 "," 39,194 "," 39,416 "," 42,287 "," 44,833 "," 43,474 "," 42,299 "," 46,125 "," 47,593 "," 46,998 "," 49,956 "," 53,367 ",,,,,,,
13910,Hilltops," 9,253 "," 9,258 "," 9,238 "," 9,381 "," 9,344 "," 9,622 "," 9,773 ", 46 , 46 , 46 , 46 , 46 , 46 , 46 ," 392,000,000 "," 407,000,000 "," 417,000,000 "," 453,000,000 "," 459,000,000 "," 484,171,625 "," 499,572,405 "," 35,543 "," 36,829 "," 38,063 "," 40,065 "," 40,913 "," 41,470 "," 43,083 "," 42,324 "," 43,919 "," 45,167 "," 48,290 "," 49,148 "," 50,319 "," 51,118 ",,,,,,,
14000,Hornsby," 83,168 "," 83,729 "," 85,008 "," 87,263 "," 88,943 "," 91,925 "," 94,446 ", 45 , 45 , 45 , 45 , 45 , 45 , 45 ," 5,300,000,000 "," 5,550,000,000 "," 5,750,000,000 "," 6,020,000,000 "," 6,300,000,000 "," 6,591,874,751 "," 6,939,147,049 "," 47,436 "," 49,223 "," 50,292 "," 51,350 "," 52,738 "," 53,442 "," 54,744 "," 63,752 "," 66,228 "," 67,643 "," 68,940 "," 70,789 "," 71,709 "," 73,472 ",,,,,,,
14100,Hunters Hill," 7,788 "," 7,870 "," 8,114 "," 8,381 "," 8,426 "," 8,495 "," 8,703 ", 48 , 48 , 48 , 48 , 48 , 48 , 48 ," 910,000,000 "," 978,000,000 "," 1,060,000,000 "," 1,110,000,000 "," 1,150,000,000 "," 1,134,953,724 "," 1,194,383,976 "," 59,844 "," 62,842 "," 64,933 "," 66,407 "," 69,912 "," 69,778 "," 70,458 "," 116,874 "," 124,323 "," 130,711 "," 132,053 "," 136,108 "," 133,603 "," 137,238 ",,,,,,,
14170,Inner West," 102,758 "," 105,302 "," 107,956 "," 111,712 "," 114,827 "," 118,669 "," 121,429 ", 39 , 39 , 39 , 39 , 39 , 39 , 39 ," 7,190,000,000 "," 7,650,000,000 "," 8,180,000,000 "," 8,700,000,000 "," 9,300,000,000 "," 9,701,513,250 "," 10,298,647,812 "," 52,199 "," 54,430 "," 55,989 "," 57,301 "," 59,101 "," 60,188 "," 62,468 "," 69,937 "," 72,667 "," 75,745 "," 77,873 "," 81,021 "," 81,753 "," 84,812 ",,,,,,,
14200,Inverell," 7,856 "," 7,822 "," 7,861 "," 7,919 "," 8,006 "," 8,111 "," 8,254 ", 45 , 45 , 45 , 45 , 45 , 45 , 45 ," 305,000,000 "," 303,000,000 "," 317,000,000 "," 344,000,000 "," 371,000,000 "," 380,438,585 "," 392,368,461 "," 34,485 "," 34,990 "," 36,457 "," 38,581 "," 40,664 "," 40,912 "," 41,976 "," 38,798 "," 38,706 "," 40,372 "," 43,384 "," 46,353 "," 46,904 "," 47,537 ",,,,,,,
14300,Junee," 2,629 "," 2,620 "," 2,720 "," 2,796 "," 2,812 "," 2,911 "," 3,009 ", 44 , 45 , 44 , 44 , 44 , 45 , 45 ," 126,000,000 "," 126,000,000 "," 129,000,000 "," 141,000,000 "," 147,000,000 "," 154,963,565 "," 156,342,140 "," 39,029 "," 40,186 "," 40,700 "," 43,383 "," 44,768 "," 45,940 "," 46,701 "," 47,934 "," 47,962 "," 47,583 "," 50,253 "," 52,221 "," 53,234 "," 51,958 ",,,,,,,
14350,Kempsey," 12,433 "," 12,272 "," 12,361 "," 12,710 "," 12,758 "," 13,041 "," 13,259 ", 48 , 49 , 49 , 49 , 49 , 49 , 49 ," 465,000,000 "," 478,000,000 "," 494,000,000 "," 522,000,000 "," 542,000,000 "," 557,371,830 "," 581,584,772 "," 31,341 "," 33,058 "," 34,345 "," 34,724 "," 36,161 "," 36,483 "," 37,679 "," 37,404 "," 38,941 "," 39,945 "," 41,076 "," 42,476 "," 42,740 "," 43,863 ",,,,,,,
14400,Kiama," 11,984 "," 12,062 "," 12,397 "," 12,701 "," 12,901 "," 13,139 "," 13,400 ", 48 , 49 , 49 , 49 , 49 , 49 , 49 ," 652,000,000 "," 673,000,000 "," 715,000,000 "," 748,000,000 "," 789,000,000 "," 811,848,080 "," 840,989,277 "," 40,553 "," 41,638 "," 42,895 "," 43,820 "," 45,542 "," 46,340 "," 47,586 "," 54,413 "," 55,815 "," 57,640 "," 58,873 "," 61,162 "," 61,789 "," 62,760 ",,,,,,,
14500,Ku-ring-gai," 70,303 "," 71,749 "," 72,823 "," 75,151 "," 76,786 "," 78,990 "," 80,429 ", 48 , 48 , 48 , 48 , 48 , 48 , 48 ," 6,730,000,000 "," 7,090,000,000 "," 7,480,000,000 "," 7,770,000,000 "," 8,110,000,000 "," 8,402,149,625 "," 8,657,567,400 "," 52,142 "," 54,301 "," 56,155 "," 57,237 "," 58,598 "," 59,116 "," 60,000 "," 95,675 "," 98,787 "," 102,711 "," 103,457 "," 105,650 "," 106,370 "," 107,642 ",,,,,,,
14550,Kyogle," 4,233 "," 4,173 "," 4,172 "," 4,269 "," 4,248 "," 4,436 "," 4,535 ", 50 , 50 , 50 , 50 , 50 , 51 , 51 ," 141,000,000 "," 144,000,000 "," 148,000,000 "," 160,000,000 "," 167,000,000 "," 174,332,996 "," 179,681,928 "," 27,318 "," 28,254 "," 28,949 "," 30,904 "," 31,933 "," 32,358 "," 31,959 "," 33,217 "," 34,570 "," 35,564 "," 37,508 "," 39,312 "," 39,300 "," 39,621 ",,,,,,,
14600,Lachlan," 3,382 "," 3,302 "," 3,328 "," 3,291 "," 3,253 "," 3,319 "," 3,309 ", 45 , 45 , 45 , 45 , 45 , 44 , 44 ," 145,000,000 "," 149,000,000 "," 162,000,000 "," 174,000,000 "," 160,000,000 "," 166,802,957 "," 161,557,085 "," 35,597 "," 37,539 "," 39,332 "," 42,517 "," 40,433 "," 40,959 "," 40,843 "," 42,902 "," 45,259 "," 48,820 "," 52,772 "," 49,131 "," 50,257 "," 48,824 ",,,,,,,
14650,Lake Macquarie," 102,871 "," 102,929 "," 103,379 "," 105,455 "," 107,360 "," 109,802 "," 112,593 ", 44 , 44 , 45 , 45 , 45 , 45 , 44 ," 5,500,000,000 "," 5,720,000,000 "," 5,840,000,000 "," 6,010,000,000 "," 6,230,000,000 "," 6,414,187,600 "," 6,763,152,188 "," 42,816 "," 44,589 "," 45,161 "," 45,909 "," 47,059 "," 47,661 "," 49,559 "," 53,435 "," 55,557 "," 56,462 "," 56,997 "," 57,983 "," 58,416 "," 60,067 ",,,,,,,
14700,Lane Cove," 20,187 "," 20,622 "," 21,444 "," 22,407 "," 23,510 "," 24,753 "," 25,499 ", 43 , 43 , 42 , 42 , 42 , 41 , 41 ," 1,930,000,000 "," 2,080,000,000 "," 2,200,000,000 "," 2,310,000,000 "," 2,470,000,000 "," 2,621,297,950 "," 2,822,936,787 "," 59,780 "," 61,796 "," 63,080 "," 64,880 "," 67,210 "," 68,030 "," 70,686 "," 95,621 "," 100,799 "," 102,381 "," 103,108 "," 105,013 "," 105,898 "," 110,708 ",,,,,,,
14750,Leeton," 5,814 "," 5,727 "," 5,814 "," 5,931 "," 5,855 "," 5,959 "," 6,184 ", 44 , 44 , 44 , 44 , 44 , 44 , 44 ," 239,000,000 "," 250,000,000 "," 265,000,000 "," 284,000,000 "," 292,000,000 "," 300,173,067 "," 312,733,076 "," 36,987 "," 39,788 "," 41,230 "," 43,722 "," 44,962 "," 45,470 "," 46,490 "," 41,187 "," 43,599 "," 45,613 "," 47,861 "," 49,815 "," 50,373 "," 50,571 ",,,,,,,
14850,Lismore," 22,078 "," 21,779 "," 22,038 "," 22,440 "," 22,559 "," 23,051 "," 23,601 ", 46 , 47 , 47 , 47 , 46 , 47 , 46 ," 917,000,000 "," 933,000,000 "," 978,000,000 "," 1,020,000,000 "," 1,060,000,000 "," 1,086,534,526 "," 1,138,311,029 "," 35,576 "," 36,839 "," 37,968 "," 38,901 "," 40,074 "," 40,692 "," 41,716 "," 41,521 "," 42,826 "," 44,383 "," 45,428 "," 46,796 "," 47,136 "," 48,231 ",,,,,,,
14870,Lithgow," 9,523 "," 9,613 "," 9,666 "," 9,663 "," 9,662 "," 9,805 "," 10,007 ", 46 , 46 , 46 , 46 , 46 , 46 , 46 ," 516,000,000 "," 521,000,000 "," 539,000,000 "," 537,000,000 "," 531,000,000 "," 546,681,191 "," 570,912,843 "," 41,715 "," 41,938 "," 42,809 "," 43,472 "," 44,339 "," 45,127 "," 46,086 "," 54,221 "," 54,164 "," 55,797 "," 55,541 "," 54,940 "," 55,755 "," 57,051 ",,,,,,,
14900,Liverpool," 86,750 "," 88,124 "," 91,349 "," 95,737 "," 98,695 "," 103,057 "," 107,293 ", 40 , 40 , 40 , 40 , 40 , 39 , 39 ," 4,290,000,000 "," 4,530,000,000 "," 4,810,000,000 "," 5,180,000,000 "," 5,470,000,000 "," 5,796,990,879 "," 6,196,379,219 "," 44,048 "," 45,616 "," 46,383 "," 47,606 "," 48,520 "," 49,398 "," 50,662 "," 49,432 "," 51,399 "," 52,617 "," 54,133 "," 55,444 "," 56,250 "," 57,752 ",,,,,,,
14920,Liverpool Plains," 3,901 "," 3,925 "," 3,914 "," 3,932 "," 3,827 "," 3,880 "," 3,935 ", 47 , 48 , 48 , 48 , 48 , 48 , 48 ," 161,000,000 "," 161,000,000 "," 164,000,000 "," 183,000,000 "," 190,000,000 "," 195,109,221 "," 203,284,605 "," 34,365 "," 34,584 "," 36,062 "," 38,221 "," 40,571 "," 41,556 "," 42,433 "," 41,306 "," 40,953 "," 41,787 "," 46,470 "," 49,578 "," 50,286 "," 51,661 ",,,,,,,
14950,Lockhart," 1,699 "," 1,670 "," 1,694 "," 1,703 "," 1,364 "," 1,718 "," 1,751 ", 48 , 48 , 49 , 48 , 47 , 49 , 48 ," 77,809,298 "," 79,793,327 "," 83,527,608 "," 86,601,960 "," 69,365,822 "," 87,358,964 "," 87,804,922 "," 38,791 "," 40,663 "," 42,221 "," 43,054 "," 45,187 "," 45,096 "," 44,199 "," 45,797 "," 47,780 "," 49,308 "," 50,853 "," 50,855 "," 50,849 "," 50,146 ",,,,,,,
15050,Maitland," 37,214 "," 37,621 "," 38,412 "," 39,544 "," 40,807 "," 42,709 "," 44,625 ", 41 , 41 , 41 , 41 , 41 , 41 , 41 ," 2,140,000,000 "," 2,220,000,000 "," 2,290,000,000 "," 2,370,000,000 "," 2,460,000,000 "," 2,607,027,472 "," 2,806,909,520 "," 46,294 "," 48,013 "," 48,450 "," 49,039 "," 49,867 "," 50,863 "," 52,421 "," 57,443 "," 59,015 "," 59,575 "," 59,998 "," 60,206 "," 61,042 "," 62,900 ",,,,,,,
15240,Mid-Coast," 40,977 "," 40,458 "," 40,756 "," 41,708 "," 42,414 "," 43,373 "," 44,297 ", 50 , 50 , 51 , 51 , 51 , 51 , 51 ," 1,610,000,000 "," 1,670,000,000 "," 1,700,000,000 "," 1,780,000,000 "," 1,870,000,000 "," 1,934,651,360 "," 2,012,258,199 "," 31,462 "," 33,005 "," 33,629 "," 34,420 "," 35,736 "," 36,360 "," 37,084 "," 39,398 "," 41,335 "," 41,671 "," 42,795 "," 44,026 "," 44,605 "," 45,427 ",,,,,,,
15270,Mid-Western Regional," 11,686 "," 11,820 "," 11,840 "," 11,985 "," 12,003 "," 12,405 "," 12,838 ", 45 , 45 , 45 , 45 , 45 , 45 , 45 ," 594,000,000 "," 624,000,000 "," 643,000,000 "," 652,000,000 "," 668,000,000 "," 694,757,847 "," 756,192,841 "," 38,100 "," 39,077 "," 40,115 "," 40,989 "," 41,867 "," 42,931 "," 45,213 "," 50,790 "," 52,770 "," 54,269 "," 54,383 "," 55,620 "," 56,006 "," 58,903 ",,,,,,,
15300,Moree Plains," 6,916 "," 7,003 "," 6,938 "," 6,863 "," 6,764 "," 6,972 "," 6,919 ", 42 , 42 , 43 , 43 , 43 , 43 , 43 ," 368,000,000 "," 387,000,000 "," 369,000,000 "," 373,000,000 "," 435,000,000 "," 467,655,201 "," 433,870,984 "," 41,550 "," 44,510 "," 44,076 "," 44,543 "," 48,215 "," 49,774 "," 48,857 "," 53,171 "," 55,231 "," 53,117 "," 54,412 "," 64,351 "," 67,076 "," 62,707 ",,,,,,,
15350,Mosman," 18,322 "," 18,636 "," 19,085 "," 19,631 "," 19,866 "," 20,412 "," 20,607 ", 46 , 47 , 47 , 47 , 47 , 47 , 47 ," 2,490,000,000 "," 2,660,000,000 "," 2,960,000,000 "," 3,050,000,000 "," 3,220,000,000 "," 3,298,746,910 "," 3,437,506,498 "," 64,649 "," 67,397 "," 69,455 "," 71,177 "," 74,068 "," 73,822 "," 75,311 "," 135,798 "," 142,467 "," 155,115 "," 155,330 "," 162,272 "," 161,608 "," 166,813 ",,,,,,,
15520,Murray River," 5,679 "," 5,660 "," 5,817 "," 5,929 "," 5,847 "," 6,088 "," 6,233 ", 47 , 48 , 48 , 48 , 48 , 48 , 48 ," 231,000,000 "," 246,000,000 "," 262,000,000 "," 285,000,000 "," 275,000,000 "," 308,337,886 "," 330,066,222 "," 33,541 "," 36,233 "," 37,136 "," 38,940 "," 39,013 "," 40,117 "," 42,998 "," 40,612 "," 43,425 "," 45,013 "," 48,105 "," 46,960 "," 50,647 "," 52,955 ",,,,,,,
15560,Murrumbidgee," 2,203 "," 2,185 "," 2,231 "," 2,243 "," 2,103 "," 2,191 "," 2,249 ", 45 , 46 , 46 , 46 , 45 , 45 , 46 ," 84,430,278 "," 96,097,208 "," 99,646,736 "," 113,000,000 "," 109,000,000 "," 109,338,912 "," 114,301,074 "," 32,868 "," 38,282 "," 39,369 "," 41,310 "," 43,211 "," 42,220 "," 43,894 "," 38,325 "," 43,980 "," 44,665 "," 50,345 "," 52,068 "," 49,904 "," 50,823 ",,,,,,,
15650,Muswellbrook," 8,510 "," 8,399 "," 8,245 "," 8,246 "," 8,093 "," 8,266 "," 8,424 ", 40 , 41 , 41 , 42 , 42 , 42 , 42 ," 539,000,000 "," 554,000,000 "," 554,000,000 "," 557,000,000 "," 547,000,000 "," 540,208,879 "," 560,229,549 "," 49,301 "," 50,688 "," 51,165 "," 51,184 "," 51,913 "," 51,411 "," 53,367 "," 63,293 "," 65,948 "," 67,184 "," 67,582 "," 67,625 "," 65,353 "," 66,504 ",,,,,,,
15700,Nambucca," 8,205 "," 8,221 "," 8,377 "," 8,663 "," 8,695 "," 8,860 "," 9,056 ", 50 , 51 , 51 , 51 , 50 , 50 , 50 ," 299,000,000 "," 310,000,000 "," 337,000,000 "," 354,000,000 "," 364,000,000 "," 373,104,769 "," 391,641,998 "," 29,099 "," 30,773 "," 32,134 "," 33,378 "," 34,830 "," 34,783 "," 35,870 "," 36,477 "," 37,743 "," 40,271 "," 40,841 "," 41,891 "," 42,111 "," 43,247 ",,,,,,,
15750,Narrabri," 7,275 "," 7,199 "," 7,223 "," 7,167 "," 6,869 "," 7,093 "," 7,269 ", 44 , 44 , 45 , 45 , 45 , 45 , 45 ," 344,000,000 "," 353,000,000 "," 364,000,000 "," 375,000,000 "," 378,000,000 "," 399,868,385 "," 408,664,413 "," 39,102 "," 41,500 "," 41,704 "," 42,163 "," 44,690 "," 46,425 "," 47,542 "," 47,219 "," 49,087 "," 50,414 "," 52,265 "," 55,059 "," 56,375 "," 56,220 ",,,,,,,
15800,Narrandera," 3,060 "," 3,037 "," 3,073 "," 3,070 "," 2,903 "," 3,060 "," 3,093 ", 47 , 47 , 47 , 47 , 47 , 47 , 47 ," 128,000,000 "," 131,000,000 "," 139,000,000 "," 143,000,000 "," 141,000,000 "," 149,791,142 "," 142,155,568 "," 36,420 "," 38,225 "," 38,237 "," 39,979 "," 42,296 "," 42,659 "," 42,210 "," 41,746 "," 43,106 "," 45,355 "," 46,586 "," 48,455 "," 48,951 "," 45,960 ",,,,,,,
15850,Narromine," 3,353 "," 3,397 "," 3,387 "," 3,438 "," 3,389 "," 3,369 "," 3,418 ", 46 , 46 , 46 , 46 , 46 , 46 , 46 ," 145,000,000 "," 151,000,000 "," 154,000,000 "," 165,000,000 "," 168,000,000 "," 176,069,506 "," 173,681,486 "," 37,128 "," 37,305 "," 37,898 "," 40,088 "," 42,139 "," 43,682 "," 44,020 "," 43,335 "," 44,306 "," 45,474 "," 48,033 "," 49,437 "," 52,262 "," 50,814 ",,,,,,,
15900,Newcastle," 82,101 "," 82,546 "," 83,157 "," 85,036 "," 86,084 "," 89,192 "," 91,558 ", 40 , 41 , 41 , 41 , 41 , 41 , 41 ," 4,660,000,000 "," 4,890,000,000 "," 5,070,000,000 "," 5,250,000,000 "," 5,400,000,000 "," 5,672,070,228 "," 6,058,217,032 "," 45,361 "," 47,554 "," 48,037 "," 48,915 "," 49,887 "," 50,518 "," 52,649 "," 56,766 "," 59,231 "," 60,952 "," 61,706 "," 62,752 "," 63,594 "," 66,168 ",,,,,,,
15950,North Sydney," 43,828 "," 45,135 "," 46,436 "," 48,134 "," 49,140 "," 50,922 "," 51,615 ", 39 , 39 , 39 , 39 , 40 , 40 , 40 ," 4,220,000,000 "," 4,550,000,000 "," 4,700,000,000 "," 5,000,000,000 "," 5,300,000,000 "," 5,550,871,332 "," 5,898,586,716 "," 63,677 "," 66,254 "," 68,493 "," 70,603 "," 72,915 "," 73,016 "," 76,063 "," 96,339 "," 100,800 "," 101,312 "," 103,974 "," 107,918 "," 109,007 "," 114,280 ",,,,,,,
15990,Northern Beaches," 154,633 "," 157,709 "," 160,151 "," 165,544 "," 167,409 "," 171,617 "," 174,481 ", 43 , 44 , 44 , 44 , 44 , 45 , 45 ," 11,100,000,000 "," 11,800,000,000 "," 12,700,000,000 "," 13,600,000,000 "," 14,100,000,000 "," 14,873,713,252 "," 15,754,358,211 "," 47,082 "," 49,217 "," 51,299 "," 53,060 "," 54,783 "," 55,499 "," 57,319 "," 72,004 "," 75,094 "," 79,591 "," 82,042 "," 84,380 "," 86,668 "," 90,293 ",,,,,,,
16100,Oberon," 2,759 "," 2,760 "," 2,765 "," 2,805 "," 2,789 "," 2,867 "," 2,943 ", 47 , 47 , 47 , 48 , 48 , 47 , 48 ," 125,000,000 "," 125,000,000 "," 132,000,000 "," 144,000,000 "," 146,000,000 "," 148,601,649 "," 157,708,960 "," 39,996 "," 39,486 "," 41,820 "," 44,683 "," 44,699 "," 45,865 "," 47,714 "," 45,437 "," 45,353 "," 47,670 "," 51,316 "," 52,262 "," 51,832 "," 53,588 ",,,,,,,
16150,Orange," 20,726 "," 20,826 "," 20,914 "," 21,451 "," 21,625 "," 22,097 "," 22,688 ", 42 , 42 , 42 , 42 , 42 , 42 , 42 ," 1,130,000,000 "," 1,170,000,000 "," 1,190,000,000 "," 1,250,000,000 "," 1,290,000,000 "," 1,338,533,927 "," 1,434,688,362 "," 45,359 "," 46,404 "," 47,331 "," 48,151 "," 48,871 "," 49,581 "," 51,430 "," 54,396 "," 56,103 "," 57,059 "," 58,150 "," 59,507 "," 60,575 "," 63,236 ",,,,,,,
16200,Parkes," 7,496 "," 7,365 "," 7,432 "," 7,548 "," 7,235 "," 7,410 "," 7,597 ", 44 , 44 , 45 , 45 , 44 , 45 , 44 ," 345,000,000 "," 348,000,000 "," 360,000,000 "," 386,000,000 "," 376,000,000 "," 380,748,761 "," 392,332,284 "," 37,965 "," 38,975 "," 39,973 "," 42,096 "," 43,145 "," 43,580 "," 44,128 "," 45,969 "," 47,202 "," 48,419 "," 51,096 "," 51,906 "," 51,383 "," 51,643 ",,,,,,,
16260,Parramatta," 111,330 "," 115,132 "," 119,025 "," 125,064 "," 129,833 "," 139,315 "," 146,880 ", 39 , 39 , 39 , 39 , 38 , 38 , 38 ," 5,970,000,000 "," 6,420,000,000 "," 6,810,000,000 "," 7,310,000,000 "," 7,760,000,000 "," 8,437,541,910 "," 9,127,438,492 "," 43,922 "," 45,877 "," 47,140 "," 48,374 "," 49,048 "," 49,615 "," 50,838 "," 53,657 "," 55,796 "," 57,193 "," 58,413 "," 59,766 "," 60,564 "," 62,142 ",,,,,,,
16350,Penrith," 98,564 "," 99,609 "," 101,976 "," 105,771 "," 108,050 "," 112,617 "," 115,989 ", 40 , 40 , 40 , 40 , 40 , 39 , 39 ," 5,100,000,000 "," 5,390,000,000 "," 5,640,000,000 "," 5,990,000,000 "," 6,320,000,000 "," 6,732,095,284 "," 7,110,479,553 "," 46,503 "," 48,392 "," 49,442 "," 50,776 "," 52,203 "," 53,200 "," 54,688 "," 51,780 "," 54,083 "," 55,350 "," 56,654 "," 58,493 "," 59,779 "," 61,303 ",,,,,,,
16380,Port Macquarie-Hastings," 37,882 "," 37,837 "," 38,612 "," 39,952 "," 40,474 "," 42,167 "," 43,386 ", 48 , 48 , 49 , 48 , 48 , 48 , 48 ," 1,600,000,000 "," 1,680,000,000 "," 1,770,000,000 "," 1,900,000,000 "," 1,970,000,000 "," 2,075,889,540 "," 2,179,397,521 "," 33,748 "," 35,631 "," 36,731 "," 38,122 "," 39,210 "," 39,741 "," 40,615 "," 42,164 "," 44,496 "," 45,716 "," 47,521 "," 48,682 "," 49,230 "," 50,233 ",,,,,,,
16400,Port Stephens," 34,364 "," 34,591 "," 34,769 "," 35,421 "," 35,824 "," 37,136 "," 38,018 ", 45 , 45 , 46 , 46 , 46 , 46 , 46 ," 1,690,000,000 "," 1,770,000,000 "," 1,810,000,000 "," 1,860,000,000 "," 1,900,000,000 "," 2,001,265,550 "," 2,097,545,956 "," 39,612 "," 40,862 "," 41,320 "," 41,887 "," 42,711 "," 43,723 "," 45,086 "," 49,252 "," 51,094 "," 52,023 "," 52,417 "," 53,169 "," 53,890 "," 55,172 ",,,,,,,
16490,Queanbeyan-Palerang Regional," 31,761 "," 32,072 "," 32,187 "," 33,235 "," 34,299 "," 36,006 "," 37,302 ", 42 , 43 , 43 , 43 , 43 , 43 , 43 ," 1,980,000,000 "," 2,070,000,000 "," 2,120,000,000 "," 2,240,000,000 "," 2,390,000,000 "," 2,534,563,004 "," 2,701,422,949 "," 54,498 "," 56,524 "," 57,327 "," 58,581 "," 60,055 "," 61,217 "," 63,094 "," 62,376 "," 64,409 "," 65,766 "," 67,349 "," 69,639 "," 70,393 "," 72,420 ",,,,,,,
16550,Randwick," 77,004 "," 78,676 "," 80,953 "," 84,050 "," 85,093 "," 86,819 "," 87,980 ", 39 , 39 , 39 , 39 , 39 , 39 , 39 ," 5,360,000,000 "," 5,720,000,000 "," 6,150,000,000 "," 6,560,000,000 "," 6,920,000,000 "," 7,246,869,450 "," 7,596,230,493 "," 50,487 "," 52,474 "," 54,458 "," 56,143 "," 57,927 "," 58,787 "," 60,208 "," 69,640 "," 72,678 "," 75,989 "," 78,050 "," 81,266 "," 83,471 "," 86,340 ",,,,,,,
16610,Richmond Valley," 9,922 "," 10,027 "," 10,117 "," 10,278 "," 10,298 "," 10,771 "," 11,197 ", 46 , 46 , 47 , 47 , 46 , 46 , 46 ," 373,000,000 "," 390,000,000 "," 408,000,000 "," 433,000,000 "," 446,000,000 "," 470,523,046 "," 498,158,075 "," 34,686 "," 35,538 "," 36,971 "," 38,653 "," 39,299 "," 39,897 "," 40,719 "," 37,639 "," 38,900 "," 40,330 "," 42,158 "," 43,319 "," 43,684 "," 44,490 ",,,,,,,
16700,Ryde," 60,990 "," 62,630 "," 64,400 "," 67,149 "," 69,467 "," 73,235 "," 76,127 ", 41 , 41 , 41 , 41 , 40 , 40 , 39 ," 3,610,000,000 "," 3,840,000,000 "," 4,060,000,000 "," 4,300,000,000 "," 4,570,000,000 "," 4,871,370,125 "," 5,229,754,036 "," 45,771 "," 47,778 "," 48,681 "," 49,764 "," 50,529 "," 51,386 "," 52,784 "," 59,141 "," 61,301 "," 62,995 "," 64,108 "," 65,817 "," 66,517 "," 68,698 ",,,,,,,
16900,Shellharbour," 32,787 "," 32,914 "," 33,707 "," 34,793 "," 35,720 "," 36,658 "," 37,952 ", 42 , 42 , 42 , 42 , 42 , 42 , 42 ," 1,660,000,000 "," 1,730,000,000 "," 1,830,000,000 "," 1,920,000,000 "," 2,020,000,000 "," 2,068,207,960 "," 2,213,268,228 "," 42,585 "," 43,825 "," 45,007 "," 46,026 "," 47,630 "," 48,002 "," 49,780 "," 50,712 "," 52,552 "," 54,205 "," 55,187 "," 56,495 "," 56,419 "," 58,318 ",,,,,,,
16950,Shoalhaven," 45,918 "," 45,696 "," 46,785 "," 48,336 "," 49,541 "," 51,195 "," 52,212 ", 48 , 48 , 48 , 48 , 48 , 48 , 48 ," 1,950,000,000 "," 2,020,000,000 "," 2,130,000,000 "," 2,270,000,000 "," 2,370,000,000 "," 2,495,880,756 "," 2,602,737,117 "," 34,403 "," 35,768 "," 36,867 "," 37,950 "," 38,791 "," 39,650 "," 40,880 "," 42,483 "," 44,226 "," 45,606 "," 47,013 "," 47,903 "," 48,752 "," 49,849 ",,,,,,,
